Site,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,AgeID,CompID,PlusSigma,MinusSigma,Source,Setting
41KR241,,-6.5,-15.34,10.58,,3376,-3376,3500,Component III,,,NSF 2015,CTx
41BX26,75,-7.8,-14.7,8.9,.,3358,-3358,3500,Component III,,,On File- PRL,CTx
41BX26,90,-8.8,-15.4,8.8,.,3276,-3276,3300,Component III,,,On File- PRL,CTx
41KR241,-,-8.8,-16.1,7.1,Unknown,3250,-3250,3300,Component III,3400-3100,,Bement 1994,CTx
41BX26,87,-9,-15.8,9.1,.,3164,-3164,3300,Component III,,,On File- PRL,CTx
41BX26,92,-7,-14.7,10.1,.,3160,-3160,3300,Component III,,,On File- PRL,CTx
41BX26,91,-9.3,-16.7,8.3,.,2913,-2913,3100,Component III,,,On File- PRL,CTx
41KR241,-,-8,-15.9,7.5,Unknown,2908,-2908,3100,Component III,3100-2715,,Bement 1994,CTx
41BX26,85,-7.3,-14.1,10.2,.,2834,-2834,2900,Component III,,,On File- PRL,CTx
41KR241,,-7.02,-16.91,10.89,,2738,-2738,2900,Component III,,,NSF 2015,CTx
41BX26,78,-8.6,-15.4,9.8,.,2371,-2371,2500,Component III,,,On File- PRL,CTx
41BX26,73,-9.6,-16.8,8.7,.,2237,-2237,2300,Component III,,,On File- PRL,CTx
41BX26,80,-10,-17.7,8.5,.,2211,-2211,2300,Component III,,,On File- PRL,CTx
41KR241,,-7.85,-16.32,10.4,,2155,-2155,2300,Component III,,,NSF 2015,CTx
41KR241,-,-10.6,-16.7,8.1,Unknown,2142,-2142,2300,Component III,2330-1945,,Bement 1994,CTx
41KR241,-,-9.9,-17.5,8.2,Unknown,2142,-2142,2300,Component III,2330-1945,,Bement 1994,CTx
41KR241,-,-9.3,-16.5,9.7,Unknown,2142,-2142,2300,Component III,2330-1945,,Bement 1994,CTx
41KR241,,-9.46,-17.28,9.54,,2128,-2128,2300,Component III,,,NSF 2015,CTx
41KR241,,-10.51,-16.52,8.79,,2047,-2047,2100,Component III,,,NSF 2015,CTx
41BX1,3,-10.2,-19,8.7,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX1,5A,-9.6,-17.9,8.8,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX1,2,-9.6,-17.3,8.8,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX1,4,-9.8,-19.3,9,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX1,5,-9.9,-17.7,9.3,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX1,10,-9.3,-19.3,8.7,3.2,2020,-2020,2100,Component III,2350,1690,Hard and Katzenberg 2011,CTx
41BX26,83,-10.9,-17.7,8.4,.,2004,-2004,2100,Component III,,,On File- PRL,CTx
41KR241,,-7.9,-16.64,10.25,,1992,-1992,2100,Component III,,,NSF 2015,CTx
41KR241,,-8.44,-16.82,9.17,,1967,-1967,2100,Component III,,,NSF 2015,CTx
41KR241,,-9.03,-16.96,9.93,,1932,-1932,2100,Component III,,,NSF 2015,CTx
41KR241,,-8.55,-16.9,8.22,,1882,-1882,1900,Component III,,,NSF 2015,CTx
41KR241,,-9.71,-17.73,9.5,,1831,-1831,1900,Component III,,,NSF 2015,CTx
41KR241,,-9.05,-17.51,8.47,,1716,-1716,1900,Component III,,,NSF 2015,CTx
41BX26,88,-10.5,-16.7,8.7,.,1660,-1660,1700,Component III,,,On File- PRL,CTx
